eventType	gameid	time	roundNum	obj
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346741553	1	{"type":"Utterance","sender":"speaker","contents":"Hi.~~~the target has a green square at upper left","time":1526346741553}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346752357	1	{"type":"Utterance","sender":"listener","contents":"what color does it have in the center square?","time":1526346752357}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346783296	1	{"type":"Utterance","sender":"speaker","contents":"whoops I said that wrong it's green upper right, same green center","time":1526346783296}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346834897	1	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1526346834897}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346977477	1	{"type":"Utterance","sender":"speaker","contents":"are you there","time":1526346977477}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346982014	2	{"type":"Utterance","sender":"speaker","contents":"yep, got that one","time":1526346982014}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347007200	2	{"type":"Utterance","sender":"speaker","contents":"the target has bright purple in the lower right","time":1526347007200}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347036454	2	{"type":"Utterance","sender":"speaker","contents":"bottom row has bright blue, purple, bright purple from left to right","time":1526347036454}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347106554	3	{"type":"Utterance","sender":"speaker","contents":"great! the target has light blue upper left, dark purple lower left","time":1526347106554}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347152083	4	{"type":"Utterance","sender":"speaker","contents":"the target has gray, blue, brown in the upper row from left to right","time":1526347152083}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347227615	5	{"type":"Utterance","sender":"speaker","contents":"target has grey upper left and lower left","time":1526347227615}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347270893	6	{"type":"Utterance","sender":"speaker","contents":"target has 2 hot pink squares in the top row, and dark purple lower left","time":1526347270893}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347328900	7	{"type":"Utterance","sender":"speaker","contents":"target has light pink upper left","time":1526347328900}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347361378	8	{"type":"Utterance","sender":"speaker","contents":"target has bright blue upper left, then pea green, then purple in the top row","time":1526347361378}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347415868	9	{"type":"Utterance","sender":"speaker","contents":"target has purple upper right","time":1526347415868}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347464822	10	{"type":"Utterance","sender":"speaker","contents":"target has bright red upper right and aqua in the lower right corner","time":1526347464822}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347528758	11	{"type":"Utterance","sender":"speaker","contents":"target has blue upper left and aqua center","time":1526347528758}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347548477	12	{"type":"Utterance","sender":"speaker","contents":"target has 2 purple and a green in the middle row","time":1526347548477}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347606229	13	{"type":"Utterance","sender":"speaker","contents":"target has maroon or purple lower left","time":1526347606229}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347643016	14	{"type":"Utterance","sender":"speaker","contents":"target has brown upper left and aqua lower right","time":1526347643016}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347691760	15	{"type":"Utterance","sender":"speaker","contents":"target has light aqua upper left","time":1526347691760}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347716755	15	{"type":"Utterance","sender":"listener","contents":"is the bottom middle a bright green or duller green?","time":1526347716755}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347732636	15	{"type":"Utterance","sender":"speaker","contents":"bright","time":1526347732636}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347756016	16	{"type":"Utterance","sender":"speaker","contents":"target has a bright royal blue in the middle of the top row","time":1526347756016}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347812931	17	{"type":"Utterance","sender":"speaker","contents":"target has purple lower right, other 2 grids have maroon lower right","time":1526347812931}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347843491	18	{"type":"Utterance","sender":"speaker","contents":"target has bright red upper right","time":1526347843491}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347886047	19	{"type":"Utterance","sender":"speaker","contents":"target has blue right in center row","time":1526347886047}
utterance	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347914090	20	{"type":"Utterance","sender":"speaker","contents":"target has the brightest green in the center box","time":1526347914090}
