eventType	gameid	time	roundNum	obj
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494342016	1	{"type":"Utterance","sender":"speaker","contents":"it's the one with the teal square in the bottom left corner","time":1526494342016}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494393926	2	{"type":"Utterance","sender":"speaker","contents":"pink middle, purple above it, gold lower left corner","time":1526494393926}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494436354	3	{"type":"Utterance","sender":"speaker","contents":"purple middle, bright green to the right of that, and gray to the left of it","time":1526494436354}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494513088	4	{"type":"Utterance","sender":"speaker","contents":"greige middle, green in first two upper boxes, then gray, brighter magenta bottom right corner","time":1526494513088}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494555884	5	{"type":"Utterance","sender":"speaker","contents":"bright pink in upper middle with grey on each side of it, 3 different greens on the bottom row","time":1526494555884}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494636346	6	{"type":"Utterance","sender":"speaker","contents":"top row has the lightest blue top left. middle has brightest purple left~~~ bottom has most \"sand\" colored left~~~ ","time":1526494636346}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494704078	7	{"type":"Utterance","sender":"speaker","contents":"bottom row are all muted colors, purple and then two differen't greens.","time":1526494704078}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494747654	8	{"type":"Utterance","sender":"speaker","contents":"top is greyish purple, orange, and green","time":1526494747654}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494793861	9	{"type":"Utterance","sender":"speaker","contents":"bottom row is a dark grey-blue, then a muted blue, then a muted green","time":1526494793861}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526494967642	10	{"type":"Utterance","sender":"speaker","contents":"These are getting nuts. Okay, weird muted mulberry/gray/purple color, then purple and magenta for top row~~~ Its more~~~~~~~~~ wine in it than purple or purple or pure gray~~~ ","time":1526494967642}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495041681	11	{"type":"Utterance","sender":"speaker","contents":"That was a hard one.  this one is green in upper left corner, followed by muted purple then a bright purple","time":1526495041681}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495089008	12	{"type":"Utterance","sender":"speaker","contents":"that was easier. This is teal middle, gray upper right corner~~~ ","time":1526495089008}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495145526	13	{"type":"Utterance","sender":"speaker","contents":"bottom row is a bright pinky-red, the most bright green, then a darker purple","time":1526495145526}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495216396	14	{"type":"Utterance","sender":"speaker","contents":"Bottom row, bright purple, blue, teal","time":1526495216396}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495286805	15	{"type":"Utterance","sender":"speaker","contents":"this is such a hard one.~~~~~~middle row to the right is the darkest purple","time":1526495286805}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495319410	15	{"type":"Utterance","sender":"listener","contents":"is the pink on top brighter or darker? ","time":1526495319410}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495336921	15	{"type":"Utterance","sender":"speaker","contents":"it's sort of in the middle, looks similar to one of the other ones.~~~~~~","time":1526495336921}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495382445	16	{"type":"Utterance","sender":"speaker","contents":"got it! whoohoo! Okay, this one has 2 diffeeent greens on each side of center","time":1526495382445}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495439233	16	{"type":"Utterance","sender":"listener","contents":"there's two like that.~~~~~~is it the one where they're both bright or is one of the greens darker than the other?","time":1526495439233}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495484556	16	{"type":"Utterance","sender":"speaker","contents":"oh sorry, that other looks more blue to me. Okay, it's green, weird muted brownywine, then lime green","time":1526495484556}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495508489	17	{"type":"Utterance","sender":"speaker","contents":"bright pink in the upper right corner","time":1526495508489}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495536594	18	{"type":"Utterance","sender":"listener","contents":"some of these are nearly impossible and I think they show up differently depending on your computer screen.","time":1526495536594}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495594494	18	{"type":"Utterance","sender":"speaker","contents":"yep. okay, not the one with orange~~~ middle row is muted blue, then brighter purple, then muted purple~~~ The wrong one is more purple for the first one~~~ ","time":1526495594494}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495637272	19	{"type":"Utterance","sender":"speaker","contents":"the bottom middle is a brownish-orange.  The least bright one","time":1526495637272}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495693432	19	{"type":"Utterance","sender":"speaker","contents":"middle left is a chocolate brown, looks similar to upper left corner","time":1526495693432}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495698795	19	{"type":"Utterance","sender":"listener","contents":"is the left middle more purple, almost the ame at the block above it? or browner and totally different?","time":1526495698795}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495741060	19	{"type":"Utterance","sender":"listener","contents":"shit. I see the top left at purple~~~ lol here we go~~~~~~~~~~~~ ","time":1526495741060}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495743465	19	{"type":"Utterance","sender":"speaker","contents":"middle upper is a forest green","time":1526495743465}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495773666	20	{"type":"Utterance","sender":"speaker","contents":"Did it!!!!! Whoohoo! Okay, this one has purple in the middle bottom row. ","time":1526495773666}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495794355	21	{"type":"Utterance","sender":"speaker","contents":"dark blue bottom right corner!","time":1526495794355}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495866024	22	{"type":"Utterance","sender":"speaker","contents":"bright magenta center, brighter orange top left corner, yellowish green middle bottom","time":1526495866024}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495883803	23	{"type":"Utterance","sender":"speaker","contents":"blue upper right corner","time":1526495883803}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495909800	24	{"type":"Utterance","sender":"speaker","contents":"green upper right corner, reddish upper left. ","time":1526495909800}
utterance	1885-0596178c-0a8e-47e4-8c99-d70c66b06fd9	1526495954025	25	{"type":"Utterance","sender":"speaker","contents":"middle row is red, purple, yellowy-green.  bottom row is teal, darker purple, bright green","time":1526495954025}
