eventType	gameid	time	roundNum	obj
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407446695	1	{"type":"Utterance","sender":"listener","contents":"Hi there","time":1526407446695}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407459473	1	{"type":"Utterance","sender":"speaker","contents":"Hello. Good luck~~~","time":1526407459473}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407480899	1	{"type":"Utterance","sender":"listener","contents":"Thanks.~~~~~~You too","time":1526407480899}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407492413	1	{"type":"Utterance","sender":"speaker","contents":"Thanks. Here goes~~~","time":1526407492413}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407554679	1	{"type":"Utterance","sender":"speaker","contents":"Target has GREENISH top left. GREYISH top right~~~ AQUA bottom left~~~  PURPLE bottom right~~~","time":1526407554679}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407612646	2	{"type":"Utterance","sender":"speaker","contents":"The right top square is a dark blue","time":1526407612646}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407689082	3	{"type":"Utterance","sender":"speaker","contents":"wow","time":1526407689082}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407710237	3	{"type":"Utterance","sender":"listener","contents":"two of these look the same   the different one has blue in the bottom right","time":1526407710237}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407752087	3	{"type":"Utterance","sender":"speaker","contents":"The target has the BRIGHTEST purple in that bottom corner.","time":1526407752087}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407775999	3	{"type":"Utterance","sender":"listener","contents":"ok  gonna take a shot here","time":1526407775999}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407801997	4	{"type":"Utterance","sender":"speaker","contents":"the bottom middle is blue","time":1526407801997}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407843532	5	{"type":"Utterance","sender":"listener","contents":"what color is the center?","time":1526407843532}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407871190	5	{"type":"Utterance","sender":"speaker","contents":"It is the one that looks like brick color. ","time":1526407871190}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407884687	6	{"type":"Utterance","sender":"speaker","contents":"good job","time":1526407884687}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407889291	6	{"type":"Utterance","sender":"listener","contents":"cool","time":1526407889291}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407914177	6	{"type":"Utterance","sender":"speaker","contents":"ok  not the one with the pink center","time":1526407914177}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407948048	6	{"type":"Utterance","sender":"speaker","contents":"on the left middle the color is more blue than gray and its green bottom left","time":1526407948048}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408082707	7	{"type":"Utterance","sender":"speaker","contents":"Ok. The bottom right it a middle green~~~ Not the neon one and notthe dull green~~~ Can't think of what green that is~~~ ","time":1526408082707}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408114826	7	{"type":"Utterance","sender":"speaker","contents":"the other colors are too similar.","time":1526408114826}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408154874	7	{"type":"Utterance","sender":"listener","contents":"ok  one is kind of a dull blue   I'm tossing that one.~~~~~~one of them is sort of a bluish green~~~~~~~~~is that the one or is it obviously green?","time":1526408154874}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408210173	7	{"type":"Utterance","sender":"speaker","contents":"Hmm. I guess you can say bluish~~~ ","time":1526408210173}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408228655	8	{"type":"Utterance","sender":"speaker","contents":"must have got it  nice job","time":1526408228655}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408241315	8	{"type":"Utterance","sender":"listener","contents":"YOU Great job","time":1526408241315}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408306526	8	{"type":"Utterance","sender":"speaker","contents":"ok  on the top row    left is a drab purple and on the right is bright purple   can you tell which one I mean?","time":1526408306526}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408369668	8	{"type":"Utterance","sender":"listener","contents":"Seems like the brightest purple one top right?","time":1526408369668}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408423746	8	{"type":"Utterance","sender":"speaker","contents":"yeah.~~~~~~~~~ the main thing is that there is the greatest difference between the two colors~~~~~~~~~~~~the others have purples closer to the same color","time":1526408423746}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408459924	9	{"type":"Utterance","sender":"listener","contents":"got that one too   wooo hooo  :)","time":1526408459924}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408465828	9	{"type":"Utterance","sender":"speaker","contents":"Hahaha","time":1526408465828}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408485511	9	{"type":"Utterance","sender":"speaker","contents":"Ok the one with the reddish color top right.","time":1526408485511}
utterance	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408520013	10	{"type":"Utterance","sender":"speaker","contents":"gray top right","time":1526408520013}
