eventType	gameid	time	roundNum	obj
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158706343	1	{"type":"Utterance","sender":"speaker","contents":"Hello there.","time":1528158706343}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158708182	1	{"type":"Utterance","sender":"speaker","contents":"One moment.","time":1528158708182}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158721197	1	{"type":"Utterance","sender":"speaker","contents":"The top left pixel is grey.","time":1528158721197}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158759719	2	{"type":"Utterance","sender":"speaker","contents":"The top left pixel is gray","time":1528158759719}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158786365	3	{"type":"Utterance","sender":"speaker","contents":"Just to be sure, you have no issues perceiving color? I realized that could be an issue.","time":1528158786365}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158788827	3	{"type":"Utterance","sender":"speaker","contents":"I do not.","time":1528158788827}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158798145	3	{"type":"Utterance","sender":"listener","contents":"I don't think so.","time":1528158798145}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158823931	3	{"type":"Utterance","sender":"speaker","contents":"One sec.","time":1528158823931}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158878306	3	{"type":"Utterance","sender":"speaker","contents":"So the top right is a brighter maroonish color. Don't pick the one with the top right blue, or the one which has a top right which looks washed out~~~","time":1528158878306}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158888400	3	{"type":"Utterance","sender":"speaker","contents":"This one is a little more difficult.","time":1528158888400}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158935091	4	{"type":"Utterance","sender":"speaker","contents":"Top middle is blue, left middle green.","time":1528158935091}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528158977964	5	{"type":"Utterance","sender":"speaker","contents":"It's the only one which has yellow.","time":1528158977964}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159037047	6	{"type":"Utterance","sender":"speaker","contents":"Center is purple, right middle is the middle shade of green.","time":1528159037047}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159056920	6	{"type":"Utterance","sender":"listener","contents":"One sec.","time":1528159056920}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159079314	6	{"type":"Utterance","sender":"listener","contents":"It is not the brightest purple?","time":1528159079314}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159082064	6	{"type":"Utterance","sender":"listener","contents":"Just to be sure.","time":1528159082064}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159093231	6	{"type":"Utterance","sender":"listener","contents":"I think I see it.","time":1528159093231}
utterance	8762-e53d5964-95c9-4178-b810-c583f99f3ccc	1528159102183	7	{"type":"Utterance","sender":"speaker","contents":"Sorry.","time":1528159102183}
