eventType	gameid	time	roundNum	obj
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897768088	1	{"type":"Utterance","sender":"speaker","contents":"top three boxes are grey brown and blue?","time":1523897768088}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897787970	2	{"type":"Utterance","sender":"speaker","contents":"bottom three are blue blue green","time":1523897787970}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897812145	3	{"type":"Utterance","sender":"speaker","contents":"The one where the bottom row looks like all the same color haha","time":1523897812145}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897828174	4	{"type":"Utterance","sender":"speaker","contents":"It told me that one was wrong","time":1523897828174}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897839522	4	{"type":"Utterance","sender":"listener","contents":"That''s odd.~~~~~~","time":1523897839522}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897846113	4	{"type":"Utterance","sender":"speaker","contents":"this one is blue Dark purple darker purple","time":1523897846113}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897850119	4	{"type":"Utterance","sender":"speaker","contents":"on bottom row","time":1523897850119}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897862479	4	{"type":"Utterance","sender":"speaker","contents":"yellow middle","time":1523897862479}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897881348	5	{"type":"Utterance","sender":"speaker","contents":"The one bottom row purple orange grey","time":1523897881348}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897898164	6	{"type":"Utterance","sender":"speaker","contents":"blue middle square","time":1523897898164}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897920648	7	{"type":"Utterance","sender":"speaker","contents":"Middle row grey grey purple","time":1523897920648}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897937682	8	{"type":"Utterance","sender":"speaker","contents":"middle square blue","time":1523897937682}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897950878	9	{"type":"Utterance","sender":"speaker","contents":"Middle square pink","time":1523897950878}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523897992450	10	{"type":"Utterance","sender":"speaker","contents":"bottom row turquoise, purple, then purple brown. Upper right square is very bright pink","time":1523897992450}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898022489	11	{"type":"Utterance","sender":"speaker","contents":"Bottom row right is bright green","time":1523898022489}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898045627	12	{"type":"Utterance","sender":"speaker","contents":"middle square is neon green","time":1523898045627}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898084136	13	{"type":"Utterance","sender":"listener","contents":"Are you there","time":1523898084136}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898087013	13	{"type":"Utterance","sender":"speaker","contents":"yes","time":1523898087013}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898089314	13	{"type":"Utterance","sender":"speaker","contents":"was thinking","time":1523898089314}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898094597	13	{"type":"Utterance","sender":"speaker","contents":"middle square is the most purple one","time":1523898094597}
utterance	9597-b2286185-8375-4c3a-81a1-842be70a921e	1523898096965	13	{"type":"Utterance","sender":"listener","contents":"it's okay! Just checking","time":1523898096965}
