eventType	gameid	time	roundNum	obj
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508059581	1	{"type":"Utterance","sender":"speaker","contents":"Choose grid with top row: beige (brown/green), sea green, mauve","time":1523508059581}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508098174	1	{"type":"Utterance","sender":"listener","contents":"Does this square have a pink box?  or is it mostly purple and brown?","time":1523508098174}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508114087	1	{"type":"Utterance","sender":"speaker","contents":"Mostly purple and brown. No pink~~~","time":1523508114087}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508152590	2	{"type":"Utterance","sender":"speaker","contents":"The box with two light green boxes, one row is orange, purple and light green, ","time":1523508152590}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508271849	3	{"type":"Utterance","sender":"speaker","contents":"Middle is light green (not yellow), has one purple square","time":1523508271849}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508328893	4	{"type":"Utterance","sender":"speaker","contents":"Has one bright pink box, has one row with two bright green colors and a blueish purple color box","time":1523508328893}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508361069	4	{"type":"Utterance","sender":"speaker","contents":"actually its more dark blue than purple","time":1523508361069}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508414719	4	{"type":"Utterance","sender":"listener","contents":"Is it the brightest pink (of the two boxes with pink squares)? ","time":1523508414719}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508438964	4	{"type":"Utterance","sender":"speaker","contents":"there should only be one really bright pink box","time":1523508438964}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508464548	5	{"type":"Utterance","sender":"speaker","contents":"The one with the pink center","time":1523508464548}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508504292	6	{"type":"Utterance","sender":"speaker","contents":"The one with the bright pink box in the center, it has a red box on the left and a light blue on the right","time":1523508504292}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508552217	7	{"type":"Utterance","sender":"speaker","contents":"The one with the orange upper left corner","time":1523508552217}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508574277	8	{"type":"Utterance","sender":"speaker","contents":"The one with the really light blue box in the middle","time":1523508574277}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508592626	9	{"type":"Utterance","sender":"speaker","contents":"The one with the bright green center","time":1523508592626}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508609700	9	{"type":"Utterance","sender":"listener","contents":"it's bright green and doesn't look yellowish right?","time":1523508609700}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508634231	9	{"type":"Utterance","sender":"speaker","contents":"Exactly. And the upper left square is vivid purple","time":1523508634231}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508700556	10	{"type":"Utterance","sender":"speaker","contents":"It's the one with the purple and pink looking box in the lower left. It has a slight bright blue box in the middle with a dark blue box on the top of it","time":1523508700556}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508767775	11	{"type":"Utterance","sender":"speaker","contents":"The center is green with a bright green square directly above it","time":1523508767775}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508810194	12	{"type":"Utterance","sender":"speaker","contents":"It has a really light green middle box and an orange box on the left of it","time":1523508810194}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508891531	13	{"type":"Utterance","sender":"speaker","contents":"Top row: yellow/green, blue/grey, grey/pink. Middle: bright purple, mauve, blue/purple","time":1523508891531}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508961636	14	{"type":"Utterance","sender":"speaker","contents":"The one right with the really bright green box in the lower left corner. it should also have a really bright blue box on the upper left corner~~~ ","time":1523508961636}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523508994841	15	{"type":"Utterance","sender":"speaker","contents":"Center is purple; lower left corner is orange","time":1523508994841}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509042915	16	{"type":"Utterance","sender":"speaker","contents":"lower left corner is bright red and pink colored, above that is a blue box. They're really bright, not the darker looking versions","time":1523509042915}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509108039	17	{"type":"Utterance","sender":"speaker","contents":"Center is bright sea green. Top row: bright pink, grey, bright green (not yellow-green)","time":1523509108039}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509149074	18	{"type":"Utterance","sender":"speaker","contents":"the lower left corner is the brighter orange box.","time":1523509149074}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509194853	19	{"type":"Utterance","sender":"speaker","contents":"Center is darkest blue with pink on the right","time":1523509194853}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509224651	20	{"type":"Utterance","sender":"speaker","contents":"Has the brightest pink in the middle of the bottom row.","time":1523509224651}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509336036	21	{"type":"Utterance","sender":"speaker","contents":"Middle is pink; Top row: green (not bright), deep blue, bright pink","time":1523509336036}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509403537	22	{"type":"Utterance","sender":"speaker","contents":"Has a bright green in the middle, the blue to the left of it looks dull. The top left corner box is light green but yellowish","time":1523509403537}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509446388	23	{"type":"Utterance","sender":"speaker","contents":" Middle is pink; upper right corner is gold","time":1523509446388}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509481833	24	{"type":"Utterance","sender":"speaker","contents":"The top left corner is brightest green. ","time":1523509481833}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509539925	25	{"type":"Utterance","sender":"speaker","contents":"Top row: royal blue, dark red, purple","time":1523509539925}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509558177	26	{"type":"Utterance","sender":"speaker","contents":"top left corner is bright purple","time":1523509558177}
utterance	5764-eb14aac8-a047-4406-b622-50502cd5423f	1523509608375	27	{"type":"Utterance","sender":"speaker","contents":"Top row has two blue squares with purple in the middle; no bright green","time":1523509608375}
