eventType	gameid	time	roundNum	obj
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148220820	1	{"type":"Utterance","sender":"speaker","contents":"Blue square in the middle","time":1528148220820}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148235234	2	{"type":"Utterance","sender":"speaker","contents":"Brown square in the middle","time":1528148235234}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148247539	2	{"type":"Utterance","sender":"speaker","contents":"Er, sorry. Just realized they all have that~~~","time":1528148247539}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148249714	2	{"type":"Utterance","sender":"listener","contents":"They all have brown in the middle.  Anything else?  ","time":1528148249714}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148251524	2	{"type":"Utterance","sender":"listener","contents":":) ","time":1528148251524}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148299458	2	{"type":"Utterance","sender":"speaker","contents":"The top-right square is a brighter green","time":1528148299458}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148313477	3	{"type":"Utterance","sender":"speaker","contents":"Red in the top right. ","time":1528148313477}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148339064	4	{"type":"Utterance","sender":"speaker","contents":"Yellow in the bottom-right","time":1528148339064}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148378086	5	{"type":"Utterance","sender":"speaker","contents":"Purple in top left, blue in lower right, pink in lower left.  ","time":1528148378086}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148445300	6	{"type":"Utterance","sender":"speaker","contents":"Tough one. Thinking~~~ Just a moment~~~","time":1528148445300}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148509624	6	{"type":"Utterance","sender":"speaker","contents":"It's one of the ones that has a purple square on the right side of the middle row. The top-left square is a lighter gray than in the other image just like it~~~","time":1528148509624}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148556373	7	{"type":"Utterance","sender":"speaker","contents":"There is a salmon color on lower right corner.  ","time":1528148556373}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148565052	7	{"type":"Utterance","sender":"speaker","contents":"Pinkish-orangish on lower right","time":1528148565052}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148591470	8	{"type":"Utterance","sender":"speaker","contents":"Yellow on the far right side of the middle row","time":1528148591470}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148613305	9	{"type":"Utterance","sender":"speaker","contents":"Bright yellow in the middle on the bottom. ","time":1528148613305}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148638688	10	{"type":"Utterance","sender":"speaker","contents":"Two green squares in the bottom-right corner","time":1528148638688}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148651377	11	{"type":"Utterance","sender":"speaker","contents":"Bright pink in middle on top. ","time":1528148651377}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148688353	12	{"type":"Utterance","sender":"speaker","contents":"Dark blue in the middle on top, with another blue directly underneath it","time":1528148688353}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148703358	13	{"type":"Utterance","sender":"speaker","contents":"Yellow in the middle on top","time":1528148703358}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148731374	14	{"type":"Utterance","sender":"speaker","contents":"The more vibrant pink in the middle on top","time":1528148731374}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148754059	15	{"type":"Utterance","sender":"speaker","contents":"OMG these are the same, hang on.~~~~~~","time":1528148754059}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148757777	15	{"type":"Utterance","sender":"listener","contents":"Haha","time":1528148757777}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148759502	15	{"type":"Utterance","sender":"listener","contents":"No worries","time":1528148759502}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148801261	15	{"type":"Utterance","sender":"speaker","contents":"I guess on the right side, there is blue on top, green in the imddle, and grey-ish blue on bottom?  ","time":1528148801261}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148812027	15	{"type":"Utterance","sender":"speaker","contents":"That's it.~~~~~~The greyish blue is on bottom right","time":1528148812027}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148853636	16	{"type":"Utterance","sender":"speaker","contents":"The one with the duller pink color in the top right","time":1528148853636}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148876508	17	{"type":"Utterance","sender":"speaker","contents":"Blue in top middle, dark blue. ","time":1528148876508}
utterance	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148892078	18	{"type":"Utterance","sender":"speaker","contents":"Blue in top middle again.","time":1528148892078}
