eventType	gameid	time	roundNum	obj
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437364605	1	{"type":"Utterance","sender":"speaker","contents":"bottom middle is dark blue","time":1526437364605}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437377255	2	{"type":"Utterance","sender":"listener","contents":"top left is bright green","time":1526437377255}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437391736	2	{"type":"Utterance","sender":"speaker","contents":"I think I'm supposed to say this time?","time":1526437391736}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437403322	2	{"type":"Utterance","sender":"speaker","contents":"Middle is green","time":1526437403322}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437406826	2	{"type":"Utterance","sender":"listener","contents":"lol, yes, and I must have hallucinated the frame.","time":1526437406826}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437441838	3	{"type":"Utterance","sender":"speaker","contents":"middle is more pink/magenta than purple","time":1526437441838}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437491137	4	{"type":"Utterance","sender":"speaker","contents":"There are two that are very similar, the one you want the bottom left corner appears to be slightly darker","time":1526437491137}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437526053	5	{"type":"Utterance","sender":"speaker","contents":"middle is light brown","time":1526437526053}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437549093	6	{"type":"Utterance","sender":"speaker","contents":"Two very similar, bottom left is darker green","time":1526437549093}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437582624	7	{"type":"Utterance","sender":"speaker","contents":"left middle is red","time":1526437582624}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437589711	7	{"type":"Utterance","sender":"listener","contents":"bright?","time":1526437589711}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437595128	7	{"type":"Utterance","sender":"speaker","contents":"yes","time":1526437595128}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437612533	8	{"type":"Utterance","sender":"speaker","contents":"Top right corner is purple","time":1526437612533}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437630323	9	{"type":"Utterance","sender":"speaker","contents":"left middle is red","time":1526437630323}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437667298	10	{"type":"Utterance","sender":"speaker","contents":"Top left is a blue that is slightly lighter than the box below","time":1526437667298}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437693338	11	{"type":"Utterance","sender":"speaker","contents":"top right is bright turquoise","time":1526437693338}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437711190	12	{"type":"Utterance","sender":"speaker","contents":"Bottom right is purple","time":1526437711190}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437731471	13	{"type":"Utterance","sender":"speaker","contents":"top right is orange","time":1526437731471}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437789553	14	{"type":"Utterance","sender":"speaker","contents":"Oh boy. The middle right is a more orangey yellow~~~ it's the middle yellow~~~","time":1526437789553}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437830739	15	{"type":"Utterance","sender":"speaker","contents":"middle left is mustardy, almost the same color as top left","time":1526437830739}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437854902	16	{"type":"Utterance","sender":"speaker","contents":"middle middle is bright green","time":1526437854902}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437878033	17	{"type":"Utterance","sender":"speaker","contents":"top left is gray","time":1526437878033}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437904442	18	{"type":"Utterance","sender":"speaker","contents":"Middle of the top row is red","time":1526437904442}
utterance	5102-c056bf1c-6bca-486e-af9f-7c8ba26d575d	1526437930545	19	{"type":"Utterance","sender":"speaker","contents":"middle right is magenta","time":1526437930545}
